Nested Sampling Global Log-Evidence           :   -0.729678176890354393E+03  +/-    0.336265301127694149E+00

Dim No.       Mean        Sigma
   1    0.501988757172506723E+02    0.203454227474893745E+01
   2    0.482884612935260762E+02    0.228576954663405907E+01
   3    0.143095290985209687E+02    0.229287752581528936E+01
   4    0.173130487948463454E+02    0.210315054060550377E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.504192105492926430E+02
   2    0.482904384395693285E+02
   3    0.142605168701137899E+02
   4    0.174362543700109036E+02

MAP Parameters
Dim No.        Parameter
   1    0.504192105492926430E+02
   2    0.482904384395693285E+02
   3    0.142605168701137899E+02
   4    0.174362543700109036E+02
