Nested Sampling Global Log-Evidence           :   -0.728101092810358409E+03  +/-    0.350904108972065532E+00

Dim No.       Mean        Sigma
   1    0.503427249410210820E+02    0.194683864557883179E+01
   2    0.481371913737591584E+02    0.227518438363927933E+01
   3    0.142800492309818097E+02    0.224285311957266043E+01
   4    0.174095966288629782E+02    0.209882551131494077E+01
   5   -0.436139228917867716E+00    0.166614225453022957E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.502388325811394338E+02
   2    0.479123886778092469E+02
   3    0.153866542397738257E+02
   4    0.174117605703230183E+02
   5   -0.454944795372469790E+00

MAP Parameters
Dim No.        Parameter
   1    0.502388325811394338E+02
   2    0.479123886778092469E+02
   3    0.153866542397738257E+02
   4    0.174117605703230183E+02
   5   -0.454944795372469790E+00
